link,pricePerMonth,address,numRooms,dateListed
https://www.zoopla.co.uk/to-rent/details/50769014,"['', '', '', '', '', '', '', '', '2250', 'pcm', '', '(519', 'pw)', '']",Kersfield House Putney SW15,2,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50769009,"['', '', '', '', '', '', '', '', '1675', 'pcm', '', '(387', 'pw)', '']",Ratcliffe Cross Street London E1,2,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50769006,"['', '', '', '', '', '', '', '', '1517', 'pcm', '', '(350', 'pw)', '']",Wilberforce Road London N4,1,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50769007,"['', '', '', '', '', '', '', '', '1000', 'pcm', '', '(231', 'pw)', '']",Victor Grove Wembley HA0,0,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50769008,"['', '', '', '', '', '', '', '', '950', 'pcm', '', '(219', 'pw)', '']",Christchurch Avenue Harrow HA3,0,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50769003,"['', '', '', '', '', '', '', '', '1775', 'pcm', '', '(410', 'pw)', '']",Ask Walk Wembley Middlesex HA0,3,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768994,"['', '', '', '', '', '', '', '', '600', 'pcm', '', '(138', 'pw)', '']",Titchfield Road Carshalton SM5,1,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768995,"['', '', '', '', '', '', '', '', '1350', 'pcm', '', '(312', 'pw)', '']",Balham High Road London SW12,1,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768985,"['', '', '', '', '', '', '', '', '715', 'pcm', '', '(165', 'pw)', '']",Cricklewood Broadway Cricklewood London NW2,0,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768982,"['', '', '', '', '', '', '', '', '2817', 'pcm', '', '(650', 'pw)', '']",Luxe Tower London E1,2,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768970,"['', '', '', '', '', '', '', '', '2817', 'pcm', '', '(650', 'pw)', '']",Ebenezer Street Islington N1,2,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768966,"['', '', '', '', '', '', '', '', '3250', 'pcm', '', '(750', 'pw)', '']",Moulins Road Hackney E9,3,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768967,"['', '', '', '', '', '', '', '', '2145', 'pcm', '', '(495', 'pw)', '']",Cobble Mews Islington Park Street N1,2,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768968,"['', '', '', '', '', '', '', '', '6067', 'pcm', '', '(1400', 'pw)', '']",De Beauvoir Square De Beauvoir N1,4,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768969,"['', '', '', '', '', '', '', '', '1950', 'pcm', '', '(450', 'pw)', '']",Caledonian Road Barnsbury N1,2,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768942,"['', '', '', '', '', '', '', '', '953', 'pcm', '', '(220', 'pw)', '']",Bromley Road London SE6,1,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768894,"['', '', '', '', '', '', '', '', '1350', 'pcm', '', '(312', 'pw)', '']",Braemar Avenue Neasden London NW10,2,2019-01-08
https://www.zoopla.co.uk/to-rent/details/47848231,"['', '', '', '', '', '', '', '', '1100', 'pcm', '', '(254', 'pw)', '']",Shere Lodge Harewood Road Colliers Wood SW19,1,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768853,"['', '', '', '', '', '', '', '', '1900', 'pcm', '', '(438', 'pw)', '']",Park Road Colliers Wood London SW19,4,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768854,"['', '', '', '', '', '', '', '', '900', 'pcm', '', '(208', 'pw)', '']",Heathfield Drive Mitcham CR4,1,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768836,"['', '', '', '', '', '', '', '', '2253', 'pcm', '', '(520', 'pw)', '']",Hatchard Road London N19,3,2019-01-08
