link,price,address,numRooms,dateListed
https://www.zoopla.co.uk/for-sale/details/50766064,425000,Twyford Road Carshalton SM5,4,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766040,525000,Geraldine Road London SW18,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766042,450000,Geraldine Road London SW18,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766024,490000,Warmwell Avenue London NW9,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766001,505000,Sirius House Marine Wharf Seafarer Way London SE16,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766002,230000,Strode Close London N10,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/49683386,425000,Northdown Road Welling DA16,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765886,400000,Dovedale Avenue Ilford Greater London IG5,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765862,425000,Devonport Street London E1,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765868,325000,Nelson Road Whitton Twickenham TW2,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765840,1350000,Marsham Street London SW1P,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765809,580000,Langley Way West Wickham BR4,4,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765820,270000,Three Corners Barnehurst Kent DA7,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765801,250000,Limbourne Avenue Dagenham Essex RM8,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765797,799950,Ascot Mews Wallington Surrey SM6,4,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765791,290000,Station Approach Highfield Avenue London NW11,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765779,1595000,Belsize Park Gardens London NW3,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765782,495000,Old Station Way Clapham London SW4,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765746,575000,West Way Shirley Croydon Surrey CR0,4,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765738,500000,Coldharbour Lane London SW9,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765708,1550000,Blazer Court 28A St. Johns Wood Road London NW8,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765710,195000,Pempath Place Wembley HA9,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765704,1850000,Hodford Road Golders Hill NW11,5,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765682,475000,Eltringham Street London SW18,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765688,165500,Limbourne Avenue Dagenham Essex RM8,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765670,380000,West Way Shirley Croydon Surrey CR0,4,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765674,285000,High Street Hampton Hill Hampton TW12,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765675,625000,Wells House Road London NW10,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765652,455000,The Sigers Eastcote Pinner HA5,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765636,370000,Malpas Road London SE4,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765591,675000,Queens Way Feltham TW13,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765582,295000,Crescent Road Erith DA8,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765565,2995000,Warwick Place Little Venice London W9,4,2019-01-11
https://www.zoopla.co.uk/new-homes/details/50765468,350000,Portia Way London Greater London E3,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765476,400000,Chancelot Road Abbey Wood London SE2,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765478,600000,The Avenue Hornchurch RM12,0,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765481,475000,Astonville Street Southfields London SW18,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50765460,5950000,Prince Edward Mansions Notting Hill Moscow Road W2,5,2019-01-11
https://www.zoopla.co.uk/for-sale/details/44329827,525000,Mimms Hall Road Potters Bar EN6,3,2019-01-11
